id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
274116,Comfortable apart in Santa Teresa - Rio de Janeiro,1433502,Norberto,,Santa Teresa,-22.91984,-43.1865,Entire home/apt,160,5,40,2022-06-28,0.43,1,56,5,
39389734,Charming Urca Apartment in Front of the Bay,162063044,Sonali,,Urca,-22.94522,-43.16343,Entire home/apt,834,4,0,,,1,331,0,
133221,The room has its own toilet.,6416134,Rosangela,,Santa Teresa,-22.91882,-43.17828,Private room,150,1,36,2022-09-13,0.32,2,357,6,
2798890,"VILLA OCEANFRONT 6 SUITES, 16 GUESTS !",14315601,Aroldo,,Joá,-23.01104,-43.28743,Entire home/apt,5500,2,13,2022-05-17,0.14,68,365,3,
137002,"Very sophisticated in the mettle of Leblon, av. Cupertino",635510,Gilberto,,Leblon,-22.98251,-43.22108,Entire home/apt,1121,2,32,2022-08-07,0.24,7,130,9,
25161906,Ótima cobertura próximo ao aeroporto do Galeão,190133622,Anna,,Ribeira,-22.82579,-43.17372,Entire home/apt,3000,2,1,2021-11-25,0.10,1,365,1,
137048,Charming 2 bedroom flat in Leblon,670198,Clarisse,,Leblon,-22.98175,-43.22492,Entire home/apt,250,3,40,2022-09-03,0.30,1,227,5,
137150,Penthouse at Lagoa close to Ipanema,670788,Roberto,,Lagoa,-22.97366,-43.20493,Entire home/apt,2584,21,0,,,1,190,0,
274552,APT LAPA. BOA NEGOCIAÇÃO CARNAVAL ATÉ 5 PESSOAS!,1435630,Arilson,,Centro,-22.91415,-43.18757,Entire home/apt,500,4,2,2017-01-12,0.02,1,365,0,
277124,Beach and Mountain beauty in Rio!,72111,David,,São Conrado,-22.99804,-43.25947,Private room,469,2,12,2016-08-14,0.09,1,364,0,
37154848,Studio no centro de Duque de Caxias,279503448,Deoclecio,,Vigário Geral,-22.79579,-43.30383,Entire home/apt,108,2,68,2022-09-12,1.81,3,9,39,
278679,"5 min a pé - Praia de Copacabana, Metrô, WiFi II",449677,Renato / Louri,,Copacabana,-22.98069,-43.19277,Entire home/apt,186,6,32,2022-09-12,0.24,7,9,10,
137343,"2BR, 2 blocks from Ipanema Beach",671579,Karen,,Ipanema,-22.98456,-43.1956,Entire home/apt,361,6,39,2020-05-15,0.29,1,0,0,
699431487636320011,Vista linda. casa c piscina. 4suítes Churrasqueira,476283820,Thiago Jorge Bacelar Lopes,,Pavuna,-22.80244,-43.39156,Entire home/apt,650,1,0,,,2,362,0,
141434,URCA Amazing Penthouse w/ best view/ 230 m2,687759,Adriana,,Botafogo,-22.95454,-43.17442,Entire home/apt,668,2,54,2022-09-19,0.40,2,298,22,
278745,Luxury Apartment - in Ipanema,529105,Alex,,Ipanema,-22.98141,-43.20911,Entire home/apt,1745,7,1,2013-06-25,0.01,3,356,0,
46312017,Studio com ótima localização em Duque de Caxias,279503448,Deoclecio,,Vigário Geral,-22.79356,-43.30413,Entire home/apt,108,2,26,2022-08-29,1.53,3,10,22,
280625,"Fascinating Rio, on the hills!",496656,Marcia  Longras,,Botafogo,-22.94265,-43.18768,Private room,207,5,21,2020-01-04,0.16,10,362,0,
51598590,Loft encantador bem localizado.,390320631,Imobiliária,,Vigário Geral,-22.7913,-43.3057,Entire home/apt,170,5,5,2022-06-29,0.38,3,357,4,
146402,Suite in a beautiful house-Lagoa/RJ,713797,Rosalia,,Humaitá,-22.96148,-43.20038,Private room,284,3,83,2022-09-12,0.65,2,362,2,
